id,historical_v2_mae,v2r_mae,mae_delta_v2r_minus_v2,historical_v2_p99,v2r_p99,historical_v2_max_abs,v2r_max_abs,historical_v2_nonfinite,v2r_nonfinite,historical_v2_geometry,v2r_geometry,v3r_geometry,historical_v2_padding_mae,v2r_padding_mae,historical_v2_resize_mae,v2r_resize_mae
original_00,0.00048793391084473115,1.645221345825121e-08,-0.0004879174586312729,0.003921598196029663,2.9802322387695312e-08,0.003921627998352051,5.960464477539063e-08,0,0,PASS,PASS,PASS,0,0,0.00048793391084473115,1.645221345825121e-08
original_01,0.0004900369654933457,1.3197459338698536e-08,-0.000490023768034007,0.003921598196029663,5.960464477539063e-08,0.003921627998352051,5.960464477539063e-08,0,0,PASS,PASS,PASS,0,0,0.0004900369654933457,1.3197459338698536e-08
original_02,0.00047540059742459564,2.5312256184406578e-08,-0.00047537528516841123,0.003921598196029663,2.9802322387695312e-08,0.003921598196029663,2.9802322387695312e-08,0,0,PASS,PASS,PASS,0,0,0.00047540059742459564,2.5312256184406578e-08
original_03,0.0004298527400169405,2.5029657990671694e-09,-0.0004298502370511414,0.003921583294868469,1.4901161193847656e-08,0.003921598196029663,2.9802322387695312e-08,0,0,PASS,PASS,PASS,0,0,0.0004298527400169405,2.5029657990671694e-09
original_04,0.0004796880027333827,2.400010089331772e-08,-0.0004796640026324894,0.003921627998352051,5.960464477539063e-08,0.003921627998352051,5.960464477539063e-08,0,0,PASS,PASS,PASS,0,0,0.0004796880027333827,2.400010089331772e-08
original_05,0.00048752963840797747,1.430752035957994e-08,-0.00048751533088761787,0.003921627998352051,5.960464477539063e-08,0.003921627998352051,5.960464477539063e-08,0,0,PASS,PASS,PASS,0,0,0.00048752963840797747,1.430752035957994e-08
original_06,0.00047111731853874514,1.2061227607773616e-08,-0.0004711052573111374,0.003921598196029663,2.9802322387695312e-08,0.003921598196029663,2.9802322387695312e-08,0,0,PASS,PASS,PASS,0,0,0.00047111731853874514,1.2061227607773616e-08
original_07,0.0004719755252881441,3.786844899877906e-08,-0.0004719376568391453,0.003921627998352051,5.960464477539063e-08,0.003921627998352051,5.960464477539063e-08,0,0,PASS,PASS,PASS,0,0,0.0004719755252881441,3.786844899877906e-08
original_08,0.00048373701592936414,1.3082863006275147e-08,-0.0004837239330663579,0.003921598196029663,2.9802322387695312e-08,0.003921627998352051,5.960464477539063e-08,0,0,PASS,PASS,PASS,0,0,0.00048373701592936414,1.3082863006275147e-08
original_09,0.00047888213353871836,2.684173523448408e-09,-0.00047887944936519494,0.003921583294868469,2.9802322387695312e-08,0.003921598196029663,2.9802322387695312e-08,0,0,PASS,PASS,PASS,0,0,0.00047888213353871836,2.684173523448408e-09
original_10,0.00041044877540116434,5.280799086904153e-09,-0.0004104434946020774,0.003921583294868469,1.4901161193847656e-08,0.003921598196029663,2.9802322387695312e-08,0,0,PASS,PASS,PASS,0,0,0.00041044877540116434,5.280799086904153e-09
original_11,0.00044291477708611636,5.4060001275502146e-09,-0.0004429093710859888,0.003921583294868469,1.4901161193847656e-08,0.003921598196029663,2.9802322387695312e-08,0,0,PASS,PASS,PASS,0,0,0.00044291477708611636,5.4060001275502146e-09
nonsquare_00,0.000355247448190615,1.1642787285381927e-08,-0.0003552358054033296,0.003921627998352051,5.960464477539063e-08,0.003921627998352051,5.960464477539063e-08,0,0,PASS,PASS,PASS,0,0,0.000497501896809614,1.6304997511256966e-08
nonsquare_01,0.00030082983282985273,1.026951849780744e-08,-0.00030081956331135494,0.003921627998352051,5.960464477539063e-08,0.003921627998352051,5.960464477539063e-08,0,0,PASS,PASS,PASS,0,0,0.00048132773252776434,1.6431229596491904e-08
nonsquare_02,0.00024089641543620626,7.792009455442895e-09,-0.00024088862342675082,0.003921598196029663,5.960464477539063e-08,0.003921627998352051,5.960464477539063e-08,0,0,PASS,PASS,PASS,0,0,0.0004817928308724125,1.558401891088579e-08
nonsquare_03,0.00014289221046813813,7.715133657863287e-09,-0.00014288449533448027,0.003921598196029663,5.960464477539063e-08,0.003921627998352051,5.960464477539063e-08,0,0,PASS,PASS,PASS,0,0,0.00021417099461266604,1.1563666372441459e-08
